동,X좌표,Y좌표
광장동,209573.3207,449658.5896
광장동,209548.011,449584.7843
광장동,209556.2411,449598.1471
광장동,209559.1614,449603.1029
광장동,209562.5242,449607.6161
광장동,209471.0198,449518.0586
광장동,209635.7986,449716.1117
광장동,209634.3826,449710.7135
광장동,209632.5242,449705.5807
광장동,209618.2068,449692.0529
광장동,209613.3156,449693.7921
광장동,209652.9275,449876.7532
광장동,209709.9033,449892.0908
광장동,209675.0995,449857.6977
광장동,209679.8189,449855.4716
광장동,209684.8054,449853.1565
광장동,209689.5247,449850.5742
광장동,209694.6003,449848.4371
광장동,209699.4977,449846.122
광장동,209649.0986,449880.226
광장동,209645.0025,449884.0549
광장동,209640.9065,449887.8838
광장동,209684.5031,449885.8678
광장동,209689.3292,449886.8838
광장동,209694.7902,449888.2808
광장동,209699.4892,449889.2968
광장동,209704.4423,449890.3128
광장동,209706.7897,449912.5922
광장동,209327.1933,449404.4484
광장동,209332.5031,449407.0148
광장동,209337.1933,449409.2272
광장동,209354.3542,449417.2961
광장동,209382.3261,449421.4396
광장동,209377.8128,449419.0502
광장동,209416.3969,449447.0148
광장동,209421.4411,449449.6696
광장동,209429.5316,449453.2911
광장동,208940.09,449372.5727
광장동,208937.4922,449371.0195
광장동,208935.1955,449369.4884
광장동,208932.7894,449367.7385
광장동,208930.1646,449366.4261
광장동,208927.4304,449364.5669
광장동,208925.1337,449362.9263
광장동,208922.0715,449361.2858
광장동,208919.7747,449359.6453
광장동,209692.7884,449796.0292
광장동,209691.8909,449793.8494
광장동,209690.8651,449791.1567
광장동,209690.0957,449788.8486
광장동,209688.9417,449786.9253
광장동,209688.557,449784.7455
광장동,209687.0184,449782.181
광장동,209686.249,449780.2576
광장동,209685.7361,449778.0778
광장동,209684.4539,449775.898
광장동,209681.0583,449777.5279
광장동,209681.6659,449780.5659
광장동,209682.6533,449783.6038
광장동,208813.7959,449274.1112
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
광장동,0,0
구의제1동,207576.3325,449031.5397
구의제1동,207590.1705,449026.8446
구의제1동,207595.2362,449024.9913
구의제1동,207603.6379,449022.2731
구의제1동,207608.8271,449020.5434
구의제1동,207617.9701,449017.9488
구의제1동,207623.1594,449016.0954
구의제1동,207631.0668,449013.2537
구의제1동,207643.6693,449009.3
구의제1동,207648.8586,449007.3231
구의제1동,207654.1714,449005.8405
구의제1동,207679.4999,448997.6859
구의제1동,207684.6891,448996.2033
구의제1동,207689.1371,448987.1839
구의제1동,207687.2838,448982.1182
구의제1동,207684.1949,448972.7281
구의제1동,207682.3416,448967.6624
구의제1동,207680.5593,448962.2019
구의제1동,207678.9256,448957.0828
구의제1동,207675.5492,448946.8446
구의제1동,207673.2619,448940.2007
구의제1동,207671.5193,448934.7549
구의제1동,207669.6677,448929.3091
구의제1동,207668.0339,448924.4078
구의제1동,207666.1814,448919.1253
구의제1동,207664.3308,448913.9518
구의제1동,207661.39,448904.476
구의제1동,207659.6473,448899.0302
구의제1동,207657.9047,448893.5844
구의제1동,207654.7461,448884.4354
구의제1동,207651.2607,448872.5634
구의제1동,207646.7952,448860.038
구의제1동,207649.5181,448867.2265
구의제1동,207645.0525,448854.4833
구의제1동,207643.5277,448849.3642
구의제1동,207625.9873,448837.777
구의제1동,207620.8434,448839.6721
구의제1동,207612.9923,448842.244
구의제1동,207607.8484,448843.936
구의제1동,207602.7046,448845.7635
구의제1동,207590.5218,448849.8244
구의제1동,207585.3779,448851.5165
구의제1동,207580.031,448853.2762
구의제1동,207574.481,448855.1713
구의제1동,207569.2018,448856.9987
구의제1동,207559.4555,448860.2475
구의제1동,207554.1763,448862.0749
구의제1동,207548.6941,448863.9023
구의제1동,207543.4148,448865.5944
구의제1동,207532.9917,448869.1139
구의제1동,207527.5772,448870.9413
구의제1동,207522.3656,448872.701
구의제1동,207659.9157,448739.9756
구의제1동,207622.8477,448787.028
구의제1동,207664.5791,448737.8232
구의제1동,207669.661,448735.6709
구의제1동,207674.444,448733.8175
구의제1동,207679.4063,448731.6651
구의제1동,207684.4285,448729.6324
구의제1동,207713.7241,448717.2565
구의제1동,207718.5071,448715.1041
구의제1동,207723.4694,448713.0714
구의제1동,207728.372,448710.919
구의제1동,207733.1549,448708.7069
구의제1동,207738.1173,448706.6741
구의제1동,207743.0796,448704.462
구의제1동,207747.9821,448702.3695
구의제1동,207752.6455,448700.2171
구의제1동,207762.1115,448718.5206
구의제1동,207763.4736,448725.1799
구의제1동,207764.6844,448731.9905
구의제1동,207765.7439,448738.1957
구의제1동,207766.9546,448743.9469
구의제1동,207768.0141,448749.244
구의제1동,207769.3762,448755.1465
구의제1동,207770.4356,448761.0491
구의제1동,207754.6494,448784.736
구의제1동,207746.8388,448787.4983
구의제1동,207575.275,448460.5079
구의제1동,207574.8378,448466.0459
구의제1동,207566.9336,448586.527
구의제1동,207566.6494,448591.7832
구의제1동,207616.2995,448615.9015
구의제1동,207611.8421,448615.2811
구의제1동,207538.9062,448612.3882
구의제1동,207789.8354,448845.047
구의제1동,207744.8045,448821.3283
구의제1동,207798.7235,448907.8873
구의제1동,207749.5978,448985.6261
구의제1동,207774.5031,448980.5027
구의제1동,207794.8543,448977.3717
구의제1동,207824.0292,449028.4632
구의제1동,207663.18,449111.3599
구의제1동,207675.3041,449110.3098
구의제1동,207696.8948,449108.5386
구의제1동,207691.6462,449108.9031
구의제1동,207702.5079,449107.8096
구의제1동,207708.0917,449107.1577
구의제1동,207713.207,449106.4602
구의제1동,207718.6712,449106.1114
구의제1동,207581.4983,448661.9148
구의제1동,207723.7814,449080.6815
구의제1동,207729.3495,449119.5865
구의제1동,207729.7252,449124.4085
구의제1동,207730.3515,449129.5437
구의제1동,207246.86,448853.6144
구의제1동,207249.5046,448857.8458
구의제1동,207284.5783,448904.38
구의제1동,207277.9785,448895.1351
구의제1동,207300.8958,448936.2892
구의제1동,207305.722,448947.5985
구의제1동,207307.9238,448953.8735
구의제1동,207309.9054,448959.3779
구의제1동,207316.2375,448980.9094
구의제1동,207317.8243,448985.6697
구의제1동,207319.4993,448990.8709
구의제1동,207163.319,449062.6139
구의제1동,207169.8571,449059.8223
구의제1동,207189.9122,449051.5946
구의제1동,207223.3228,449038.0335
구의제1동,207228.3476,449036.0059
구의제1동,207240.4247,449030.8048
구의제1동,207244.9206,449029.1299
구의제1동,207249.2402,449027.0142
구의제1동,207253.6479,449025.1629
구의제1동,207266.4303,449017.0527
구의제1동,207271.984,449014.8489
구의제1동,207307.1576,448999.9508
구의제1동,207787.3392,449103.1461
구의제1동,207787.7772,449105.6279
구의제1동,207788.0692,449108.1827
구의제1동,207788.6531,449110.1535
구의제1동,207788.7991,449112.3433
구의제1동,207789.383,449114.5331
구의제1동,207789.748,449117.3798
구의제1동,207790.259,449119.7886
구의제1동,207790.6969,449122.3434
구의제1동,207791.1349,449125.0441
구의제1동,207791.4999,449127.7449
구의제1동,207799.8941,449131.0296
구의제1동,207800.1861,449128.3288
구의제1동,207795.8795,449099.8614
구의제1동,207796.1714,449102.0512
구의제1동,207796.6094,449104.314
구의제1동,207797.0473,449107.1608
구의제1동,207797.6313,449109.3506
구의제1동,207797.8503,449111.5404
구의제1동,207798.1422,449114.1681
구의제1동,207798.4992,449116.8929
구의제1동,207799.0912,449119.3507
구의제1동,207799.2918,449122.4412
구의제1동,207799.6315,449125.3852
구의제1동,207804.8401,449098.8894
구의제1동,207805.0036,449101.2483
구의제1동,207805.2226,449103.7301
구의제1동,207805.5146,449106.1389
구의제1동,207805.8065,449108.6936
구의제1동,207805.8795,449111.2484
구의제1동,207806.3175,449114.0221
구의제1동,207806.6095,449116.6499
구의제1동,207806.9014,449119.0587
구의제1동,207806.9744,449121.8324
구의제1동,207786.843,449100.5942
구의제1동,207093.7325,448994.7414
구의제1동,207097.311,448994.8764
구의제1동,207100.8218,448995.1465
구의제1동,207104.4003,448995.214
구의제1동,207108.1812,448995.349
구의제1동,207112.0297,448995.4841
구의제1동,207115.5406,448995.4841
구의제1동,207119.3215,448995.6866
구의제1동,207093.665,448991.3655
구의제1동,207097.1759,448991.6356
구의제1동,207100.5518,448991.8381
구의제1동,207104.2652,448991.8381
구의제1동,207108.0462,448992.1082
구의제1동,207111.8271,448992.1082
구의제1동,207115.6756,448992.1082
구의제1동,207119.3215,448992.2432
구의제1동,207093.5975,448987.7871
구의제1동,207097.2434,448988.0572
구의제1동,207100.5518,448988.2597
구의제1동,207104.1302,448988.4623
구의제1동,207107.9787,448988.8674
구의제1동,207111.8947,448988.8674
구의제1동,207115.7431,448989.0699
