명칭,소재지지번주소,위도,경도,면적,조성일,전체 구획수,분양 구획수,분양대상,소유자,지목,관리기관전화번호,관리기관명,데이터기준일자
광장동 자투리텃밭,서울특별시 광진구 광장동 582-3,37.544401,127.099204,2800,2012-05-01,103,100,개인,구유지,임야,02-450-7783,서울특별시 광진구청,2023-02-07
아차산 자투리텃밭,서울특별시 광진구 광장동 378,37.549467,127.101183,1200,2014-11-01,110,100,개인,구유지,답,02-450-7783,서울특별시 광진구청,2023-02-07
중랑천 자투리텃밭,서울특별시 광진구 중곡동 503-28,37.567924,127.07849,1800,2012-05-01,124,124,"개인, 단체",국유지,천,02-450-7783,서울특별시 광진구청,2023-02-07
광나루 자투리텃밭,서울특별시 광진구 광장동 401-24,37.545593,127.100706,600,2015-12-01,50,0,교육생,구유지,대지,02-450-7783,서울특별시 광진구청,2023-02-07
