차종,차명,등록일,사용부서,데이터기준일자
중형승용,아이오닉일렉트릭,2018-03-09,광장동,2023-02-03
중형승용,아이오닉일렉트릭,2018-03-09,자양1동,2023-02-03
중형승용,아이오닉일렉트릭,2018-03-09,자양2동,2023-02-03
중형승용,아이오닉일렉트릭,2018-03-09,자양3동,2023-02-03
중형승용,아이오닉일렉트릭,2018-03-09,자양4동,2023-02-03
중형승용,아이오닉일렉트릭,2018-03-09,화양동,2023-02-03
중형승용,아이오닉일렉트릭,2018-03-09,군자동,2023-02-03
중형승용,투싼,2018-03-20,교통지도과,2023-02-03
소형화물,포터2,2018-04-11,보건의료과,2023-02-03
소형화물,포터2,2018-04-19,광장동,2023-02-03
소형화물,포터2,2018-04-19,구의2동,2023-02-03
중형승합,포터2,2018-05-15,구의회,2023-02-03
중형승용,아이오닉일렉트릭,2018-06-22,공원녹지과,2023-02-03
대형화물,알엔씨도로분진청소차,2018-07-03,청소과,2023-02-03
중형승용,아이오닉일렉트릭,2018-10-10,사회복지장애인과,2023-02-03
중형승용,아이오닉일렉트릭,2018-10-10,스마트정보과,2023-02-03
중형승용,싼타페,2018-10-10,총무과,2023-02-03
중형승합,그랜드스타렉스,2018-10-11,총무과,2023-02-03
중형화물,마이티2.5톤 덤프,2018-10-25,치수과,2023-02-03
대형화물,알엔씨진공노면청소차,2018-11-29,청소과,2023-02-03
중형승합,그랜드스타렉스,2018-12-06,홍보담당관,2023-02-03
대형승용,G80,2018-12-19,구의회,2023-02-03
경형승용,레이,2019-02-27,교통지도과,2023-02-03
중형화물,마이티큐티(살수차)..더블캡 2.5톤,2019-02-28,공원녹지과,2023-02-03
중형승합,그랜드스타렉스(11인승),2019-04-05,도시안전과,2023-02-03
소형화물,포터2,2019-05-16,구의3동,2023-02-03
대형승용,카니발리무진,2019-07-29,총무과(구청장),2023-02-03
중형승합,카니발,2019-08-26,건축과,2023-02-03
대형승합,뉴그랜버드(45인승),2019-10-08,총무과,2023-02-03
소형화물,봉고3,2019-10-28,청소과,2023-02-03
소형화물,봉고3,2019-10-28,청소과,2023-02-03
소형화물,봉고3,2019-10-28,청소과,2023-02-03
소형화물,봉고3,2019-10-28,청소과,2023-02-03
대형화물,신정10㎥ 진공노면청소차,2019-11-08,청소과,2023-02-03
대형승합,뉴슈퍼에어로시티초저상버스(24인승),2019-12-16,어르신복지과,2023-02-03
대형화물,신정12.4㎘CNG도로노면살수차,2020-02-06,청소과,2023-02-03
대형화물,신정12.4㎘CNG도로노면살수차,2020-02-06,청소과,2023-02-03
대형화물,신정6㎥CNG진공노면청소차,2020-02-06,청소과,2023-02-03
소형화물,포터2,2020-04-08,보건의료과,2023-02-03
소형화물,포터2,2020-05-20,가로경관과,2023-02-03
소형화물,포터2,2020-05-20,복지정책과,2023-02-03
중형승용,넥쏘,2020-05-29,총무과,2023-02-03
중형화물,에이엠3.1톤 재활용수거차,2020-06-15,청소과,2023-02-03
중형화물,에이엠3.1톤 재활용수거차,2020-06-15,청소과,2023-02-03
중형승용,니로EV,2020-06-23,총무과,2023-02-03
소형화물,그랜드스타렉스밴(5인승),2020-07-14,환경과,2023-02-03
중형화물,마이티(더블캡 2.5톤),2020-07-14,공원녹지과,2023-02-03
대형화물,액시언트 암롤,2020-07-29,청소과,2023-02-03
중형승합,앰뷸런스(일반),2020-08-31,보건정책과,2023-02-03
소형특수,이텍진공식소형전기노면청소차,2020-09-16,청소과,2023-02-03
대형화물,신정5.5kl천연가스살수차,2020-10-29,청소과,2023-02-03
중형승용,니로EV,2021-01-28,아동청년과,2023-02-03
소형화물,포터2,2021-02-24,청소과,2023-02-03
중형화물,에이엠2.5톤 재활용수거차,2021-03-16,청소과,2023-02-03
대형화물,대경20.1톤암롤트럭,2021-04-13,청소과,2023-02-03
대형화물,대경20.1톤암롤트럭,2021-04-13,청소과,2023-02-03
대형화물,토미엑시언트24톤암롤트럭,2021-04-27,청소과,2023-02-03
중형승용,볼트EV,2021-06-10,아동청년과,2023-02-03
소형화물,포터2,2021-06-11,공원녹지과,2023-02-03
중형승합,스타리아,2021-06-25,청소과,2023-02-03
중형승용,니로EV,2021-07-02,도로과,2023-02-03
중형승용,아이오닉5,2021-07-22,지역경제과,2023-02-03
대형화물,신정6㎥CNG진공노면청소차,2021-09-01,청소과,2023-02-03
소형화물,포터2,2021-09-03,감사담당관,2023-02-03
소형화물,포터2,2021-09-03,군자동,2023-02-03
소형화물,포터2,2021-09-03,교통행정과,2023-02-03
소형화물,포터2,2021-09-03,총무과,2023-02-03
중형승합,스타리아,2021-09-16,보건정책과,2023-02-03
중형승용,아이오닉5,2021-09-28,총무과,2023-02-03
대형승용,스타리아,2021-10-12,문화체육과,2023-02-03
소형특수,이텍진공식소형전기노면청소차,2021-10-29,청소과,2023-02-03
소형특수,이텍진공식소형전기노면청소차,2021-10-29,청소과,2023-02-03
대형화물,신정5kl CNG 도로먼지제거살수차,2021-11-10,청소과,2023-02-03
경형승용,모닝,2022-04-07,교통지도과,2023-02-03
경형승용,모닝,2022-05-19,교통지도과,2023-02-03
경형승용,모닝,2022-05-19,교통지도과,2023-02-03
경형승용,모닝,2022-05-19,교통지도과,2023-02-03
경형승용,레이,2022-06-02,청소과,2023-02-03
중형화물,에이엠2.3톤재활용품수거차,2022-08-01,청소과,2023-02-03
중형화물,에이엠2.3톤재활용품수거차,2022-08-01,청소과,2023-02-03
소형화물,포터2,2022-08-29,공원녹지과,2023-02-03
소형화물,포터2,2022-10-12,청소과,2023-02-03
소형화물,포터2,2022-10-13,청소과,2023-02-03
소형화물,포터2,2022-10-13,청소과,2023-02-03
경형승용,레이,2022-10-26,부동산정보과,2023-02-03
대형승용,카니발,2022-10-31,청소과,2023-02-03
대형승용,카니발 시그니처,2022-12-26,공원녹지과,2023-02-03
